customer_name,cluster,offer_id,n,campaign,varietal,min_qty,discount,origin,past_peak
Smith,3,2,1,January,Pinot Noir,72,17,France,False
Smith,3,24,1,September,Pinot Noir,6,34,Italy,False
Rodriguez,3,2,1,January,Pinot Noir,72,17,France,False
Rodriguez,3,26,1,October,Pinot Noir,144,83,Australia,False
Martin,2,2,1,January,Pinot Noir,72,17,France,False
Martin,2,28,1,November,Cabernet Sauvignon,12,56,France,True
Martin,2,11,1,May,Champagne,72,85,France,False
Jackson,1,2,1,January,Pinot Noir,72,17,France,False
Jackson,1,22,1,August,Champagne,72,63,France,False
Jackson,1,15,1,June,Cabernet Sauvignon,144,19,Italy,False
Jackson,1,1,1,January,Malbec,72,56,France,False
Jackson,1,11,1,May,Champagne,72,85,France,False
Campbell,3,2,1,January,Pinot Noir,72,17,France,False
Campbell,3,24,1,September,Pinot Noir,6,34,Italy,False
Campbell,3,26,1,October,Pinot Noir,144,83,Australia,False
Mitchell,2,2,1,January,Pinot Noir,72,17,France,False
Mitchell,2,1,1,January,Malbec,72,56,France,False
Peterson,2,2,1,January,Pinot Noir,72,17,France,False
Peterson,2,26,1,October,Pinot Noir,144,83,Australia,False
Peterson,2,10,1,April,Prosecco,72,52,California,False
Peterson,2,23,1,September,Chardonnay,144,39,South Africa,False
Peterson,2,1,1,January,Malbec,72,56,France,False
Peterson,2,27,1,October,Champagne,72,88,New Zealand,False
Bell,3,2,1,January,Pinot Noir,72,17,France,False
Bell,3,24,1,September,Pinot Noir,6,34,Italy,False
Bell,3,17,1,July,Pinot Noir,12,47,Germany,False
Bell,3,26,1,October,Pinot Noir,144,83,Australia,False
Cox,3,2,1,January,Pinot Noir,72,17,France,False
Cox,3,24,1,September,Pinot Noir,6,34,Italy,False
Cox,3,17,1,July,Pinot Noir,12,47,Germany,False
Cox,3,26,1,October,Pinot Noir,144,83,Australia,False
Fisher,1,2,1,January,Pinot Noir,72,17,France,False
Fisher,1,22,1,August,Champagne,72,63,France,False
Fisher,1,31,1,December,Champagne,72,89,France,False
Fisher,1,30,1,December,Malbec,6,54,France,False
Fisher,1,28,1,November,Cabernet Sauvignon,12,56,France,True
Fisher,1,1,1,January,Malbec,72,56,France,False
