customer_name,cluster,offer_id,n,campaign,varietal,min_qty,discount,origin,past_peak
Smith,2,2,1,January,Pinot Noir,72,17,France,False
Smith,2,24,1,September,Pinot Noir,6,34,Italy,False
Rodriguez,2,2,1,January,Pinot Noir,72,17,France,False
Rodriguez,2,26,1,October,Pinot Noir,144,83,Australia,False
Martin,0,2,1,January,Pinot Noir,72,17,France,False
Martin,0,28,1,November,Cabernet Sauvignon,12,56,France,True
Martin,0,11,1,May,Champagne,72,85,France,False
Jackson,0,2,1,January,Pinot Noir,72,17,France,False
Jackson,0,22,1,August,Champagne,72,63,France,False
Jackson,0,15,1,June,Cabernet Sauvignon,144,19,Italy,False
Jackson,0,1,1,January,Malbec,72,56,France,False
Jackson,0,11,1,May,Champagne,72,85,France,False
Campbell,2,2,1,January,Pinot Noir,72,17,France,False
Campbell,2,24,1,September,Pinot Noir,6,34,Italy,False
Campbell,2,26,1,October,Pinot Noir,144,83,Australia,False
Mitchell,0,2,1,January,Pinot Noir,72,17,France,False
Mitchell,0,1,1,January,Malbec,72,56,France,False
Peterson,0,2,1,January,Pinot Noir,72,17,France,False
Peterson,0,26,1,October,Pinot Noir,144,83,Australia,False
Peterson,0,10,1,April,Prosecco,72,52,California,False
Peterson,0,23,1,September,Chardonnay,144,39,South Africa,False
Peterson,0,1,1,January,Malbec,72,56,France,False
Peterson,0,27,1,October,Champagne,72,88,New Zealand,False
Bell,2,2,1,January,Pinot Noir,72,17,France,False
Bell,2,24,1,September,Pinot Noir,6,34,Italy,False
Bell,2,17,1,July,Pinot Noir,12,47,Germany,False
Bell,2,26,1,October,Pinot Noir,144,83,Australia,False
Cox,2,2,1,January,Pinot Noir,72,17,France,False
Cox,2,24,1,September,Pinot Noir,6,34,Italy,False
Cox,2,17,1,July,Pinot Noir,12,47,Germany,False
Cox,2,26,1,October,Pinot Noir,144,83,Australia,False
Fisher,0,2,1,January,Pinot Noir,72,17,France,False
Fisher,0,22,1,August,Champagne,72,63,France,False
Fisher,0,31,1,December,Champagne,72,89,France,False
Fisher,0,30,1,December,Malbec,6,54,France,False
Fisher,0,28,1,November,Cabernet Sauvignon,12,56,France,True
Fisher,0,1,1,January,Malbec,72,56,France,False
Fisher,0,11,1,May,Champagne,72,85,France,False
Johnson,2,24,1,September,Pinot Noir,6,34,Italy,False
Johnson,2,17,1,July,Pinot Noir,12,47,Germany,False
Johnson,2,26,1,October,Pinot Noir,144,83,Australia,False
Anderson,2,24,1,September,Pinot Noir,6,34,Italy,False
Anderson,2,26,1,October,Pinot Noir,144,83,Australia,False
Moore,2,24,1,September,Pinot Noir,6,34,Italy,False
Moore,2,17,1,July,Pinot Noir,12,47,Germany,False
Phillips,2,24,1,September,Pinot Noir,6,34,Italy,False
Phillips,2,17,1,July,Pinot Noir,12,47,Germany,False
Flores,2,24,1,September,Pinot Noir,6,34,Italy,False
Flores,2,17,1,July,Pinot Noir,12,47,Germany,False
Morris,2,24,1,September,Pinot Noir,6,34,Italy,False
Morris,2,17,1,July,Pinot Noir,12,47,Germany,False
Morris,2,26,1,October,Pinot Noir,144,83,Australia,False
Cook,2,24,1,September,Pinot Noir,6,34,Italy,False
Cook,2,26,1,October,Pinot Noir,144,83,Australia,False
Jenkins,2,24,1,September,Pinot Noir,6,34,Italy,False
Jenkins,2,26,1,October,Pinot Noir,144,83,Australia,False
Thomas,0,26,1,October,Pinot Noir,144,83,Australia,False
Thomas,0,14,1,June,Merlot,72,64,Chile,False
Thomas,0,1,1,January,Malbec,72,56,France,False
Thomas,0,4,1,February,Champagne,72,48,France,True
Thomas,0,9,1,April,Chardonnay,144,57,Chile,False
Thomas,0,11,1,May,Champagne,72,85,France,False
Sanchez,0,26,1,October,Pinot Noir,144,83,Australia,False
Sanchez,0,22,1,August,Champagne,72,63,France,False
Sanchez,0,14,1,June,Merlot,72,64,Chile,False
Sanchez,0,15,1,June,Cabernet Sauvignon,144,19,Italy,False
Sanchez,0,4,1,February,Champagne,72,48,France,True
Sanchez,0,5,1,February,Cabernet Sauvignon,144,44,New Zealand,True
Sanchez,0,20,1,August,Cabernet Sauvignon,72,82,Italy,False
Gray,0,26,1,October,Pinot Noir,144,83,Australia,False
Gray,0,12,1,May,Prosecco,72,83,Australia,False
Gray,0,16,1,June,Merlot,72,88,California,False
Sanders,0,26,1,October,Pinot Noir,144,83,Australia,False
Sanders,0,6,1,March,Prosecco,144,86,Chile,False
Sanders,0,25,1,October,Cabernet Sauvignon,72,59,Oregon,True
Sanders,0,1,1,January,Malbec,72,56,France,False
Sanders,0,4,1,February,Champagne,72,48,France,True
Sanders,0,9,1,April,Chardonnay,144,57,Chile,False
Sanders,0,11,1,May,Champagne,72,85,France,False
Sanders,0,5,1,February,Cabernet Sauvignon,144,44,New Zealand,True
Sanders,0,20,1,August,Cabernet Sauvignon,72,82,Italy,False
Russell,2,26,1,October,Pinot Noir,144,83,Australia,False
Williams,0,18,1,July,Espumante,6,50,Oregon,False
Williams,0,22,1,August,Champagne,72,63,France,False
Williams,0,31,1,December,Champagne,72,89,France,False
Taylor,1,18,1,July,Espumante,6,50,Oregon,False
Taylor,1,7,1,March,Prosecco,6,40,Australia,True
Taylor,1,29,1,November,Pinot Grigio,6,87,France,False
Taylor,1,30,1,December,Malbec,6,54,France,False
Walker,1,18,1,July,Espumante,6,50,Oregon,False
Walker,1,29,1,November,Pinot Grigio,6,87,France,False
Perez,1,18,1,July,Espumante,6,50,Oregon,False
Perez,1,30,1,December,Malbec,6,54,France,False
King,1,18,1,July,Espumante,6,50,Oregon,False
